llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
90738005102.0,90738005,907380051,9,9,48,1,Hombre,3.0,2,No tiene discapacidad,1,15.83333333333333,9.83333333333333,0.0,0.0,6.0,0.0,58.0,0.0,4338,1,1,0,0,1,0,1,0,1,15.83333333333333,58.0,1,1
90738005103.0,90738005,907380051,9,9,22,1,Hombre,4.0,2,No tiene discapacidad,4,2.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,4374,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0
90738005104.0,90738005,907380051,9,9,20,1,Hombre,3.0,2,No tiene discapacidad,4,6.58333333333333,4.58333333333333,0.0,0.0,2.0,0.0,0.0,0.0,4374,1,1,0,0,1,0,0,0,1,6.58333333333333,0.0,0,0
90738005105.0,90738005,907380051,9,9,15,1,Hombre,2.0,2,No tiene discapacidad,1,5.25,2.75,0.0,0.0,2.5,0.0,40.0,0.0,4340,1,1,0,0,1,0,1,0,1,5.25,40.0,1,1
90875602102.0,90875602,908756021,9,9,40,2,Mujer,3.0,2,No tiene discapacidad,1,35.33333333333333,0.0,0.0,33.66666666666666,1.66666666666666,0.0,10.0,0.0,3947,1,0,0,1,1,0,1,0,1,35.33333333333333,10.0,1,1
90349301101.0,90349301,903493011,9,9,43,2,Mujer,3.0,2,No tiene discapacidad,1,9.25,0.0,0.0,8.25,1.0,0.0,48.0,0.0,4009,1,0,0,1,1,0,1,0,1,9.25,48.0,1,1
90349301102.0,90349301,903493011,9,9,24,2,Mujer,4.0,2,No tiene discapacidad,4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4084,1,0,0,1,0,0,0,0,1,2.0,0.0,0,0
90349301103.0,90349301,903493011,9,9,21,2,Mujer,3.0,2,No tiene discapacidad,4,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4084,1,0,0,1,0,0,0,0,1,3.0,0.0,0,0
90349302101.0,90349302,903493021,9,9,48,1,Hombre,2.0,2,No tiene discapacidad,1,2.33333333333333,2.33333333333333,0.0,0.0,0.0,0.0,60.0,0.0,4092,1,1,0,0,0,0,1,0,1,2.33333333333333,60.0,1,1
90349302102.0,90349302,903493021,9,9,48,2,Mujer,2.0,2,No tiene discapacidad,5,28.83333333333333,25.83333333333333,0.0,0.0,3.0,0.0,0.0,0.0,4002,1,1,0,0,1,0,0,0,1,28.83333333333333,0.0,0,0
90349302103.0,90349302,903493021,9,9,24,2,Mujer,3.0,2,No tiene discapacidad,1,1.33333333333333,1.33333333333333,0.0,0.0,0.0,0.0,48.0,0.0,4084,1,1,0,0,0,0,1,0,1,1.33333333333333,48.0,1,1
90349302104.0,90349302,903493021,9,9,21,1,Hombre,2.0,2,No tiene discapacidad,6,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4127,1,1,0,0,0,0,0,0,1,1.5,0.0,0,0
